Sprint;Id;Historia de usuario
1;1;El usuario quiere ver una estructura básica de la pagina web para establecer sus expectativas (pantallas principales: inicio, clubes, eventos, perfil).
1;2;El usuario quiere que se escoja la paleta de colores y la tipografía para definir la identidad visual del sistema.
1;3;El usuario quiere un logotipo y un eslogan para mostrar la marca del gestor en el splash y cabeceras.
2;4;El usuario quiere que la pagina web muestre un splash screen con nombre y logo del proyecto.
2;5;El usuario quiere poder registrarse e iniciar sesión (con correo y contraseña) para identificarse como integrante.
2;6;El usuario quiere poder crear y editar su perfil (nombre, facultad, intereses, foto) para que los clubes conozcan sus datos.
3;7;El usuario quiere que la pagina web muestre una lista de clubes con un toolbar que muestre opciones de filtrado y búsqueda.
3;8;El usuario quiere que la pagina web cuente con una BottomNavigationView para facilitar la navegación entre Inicio / Clubes / Eventos / Perfil.
3;9;El usuario quiere poder ver la ficha de un club (descripción, integrantes, próximos eventos, contactos) para conocer mejor cada grupo.
4;10;El usuario quiere que los clubes puedan publicar eventos y que estos se vean en la sección de Eventos para ofrecer actividades.
4;11;El usuario quiere que la pagina web permita inscribirse a un evento (o marcar asistencia) para participar en actividades.
4;12;El usuario quiere que exista un sistema de comentarios y valoraciones para que los nuevos estudiantes lean opiniones sobre los clubes.
5;13;El usuario quiere poder gestionar integrantes de un club (agregar/quitar/roles) para que la organización interna sea clara.
5;14;El usuario quiere que la pagina web muestre la direccion geográfica del club o sede del evento en un mapa para saber dónde asistir.
5;15;El usuario quiere que la aplicación envíe notificaciones (recordatorios de eventos, confirmaciones de inscripción) para no perder actividades importantes.
